timestamp,open,high,low,close,volume
2020-01-09,1909.8900,1917.8200,1895.8000,1901.0500,3174962
2020-01-08,1898.0400,1911.0000,1886.4400,1891.9700,3511966
2020-01-07,1904.5000,1913.8900,1892.0400,1906.8600,4134010
2020-01-06,1860.0000,1903.6900,1860.0000,1902.8800,4065698
2020-01-03,1864.5000,1886.2000,1864.5000,1874.9700,3766604
2020-01-02,1875.0000,1898.0100,1864.1500,1898.0100,4035910
2019-12-31,1842.0000,1853.2600,1832.2300,1847.8400,2510380
2019-12-30,1874.0000,1884.0000,1840.6200,1846.8900,3677306
2019-12-27,1882.9200,1901.4000,1866.0100,1869.8000,6188754
2019-12-26,1801.0100,1870.4600,1799.5000,1868.7700,6024608
2019-12-24,1793.8100,1795.5700,1787.5800,1789.2100,881337
2019-12-23,1788.2600,1793.0000,1784.5100,1793.0000,2137493
2019-12-20,1799.6200,1802.9700,1782.4500,1786.5000,5152460
2019-12-19,1780.5000,1792.9900,1774.0600,1792.2800,2738320
2019-12-18,1795.0200,1798.2000,1782.3600,1784.0300,3354137
2019-12-17,1778.0100,1792.0000,1777.3900,1790.6600,3646697
2019-12-16,1767.0000,1769.5000,1757.0500,1769.2100,3149345
2019-12-13,1765.0000,1768.9900,1755.0000,1760.9400,2747909
2019-12-12,1750.0000,1764.0000,1745.4400,1760.3300,3103949
2019-12-11,1741.6700,1750.0000,1735.7100,1748.7200,2101318
2019-12-10,1747.4000,1750.6700,1735.0000,1739.2100,2515644
2019-12-09,1750.6600,1766.8900,1745.6100,1749.5100,2502489
2019-12-06,1751.2000,1754.4000,1740.1300,1751.6000,3119979
2019-12-05,1763.5000,1763.5000,1740.0000,1740.4800,2827852
2019-12-04,1774.0100,1789.0900,1760.2200,1760.6900,2680700
2019-12-03,1760.0000,1772.8700,1747.2300,1769.9600,3529582
2019-12-02,1804.4000,1805.5500,1762.6800,1781.6000,3931750
2019-11-29,1817.7800,1824.6900,1800.7900,1800.8000,1923440
2019-11-27,1801.0000,1824.5000,1797.3100,1818.5100,3035846
2019-11-26,1779.9200,1797.0300,1778.3500,1796.9400,3190428
2019-11-25,1753.2500,1777.4200,1753.2400,1773.8400,3489467
2019-11-22,1739.0200,1746.4300,1731.0000,1745.7200,2479081
2019-11-21,1743.0000,1746.8700,1730.3600,1734.7100,2662938
2019-11-20,1749.1400,1762.5200,1734.1200,1745.5300,2793759
2019-11-19,1756.9900,1760.6800,1743.0300,1752.7900,2274535
